Date,Open,High,Low,Close,Adj Close,Volume
2023-07-10,276.470001,285.299988,265.100006,281.380005,281.380005,539522500
2023-07-17,286.630005,299.290009,255.800003,260.019989,260.019989,722568100
2023-07-24,255.850006,272.899994,254.119995,266.440002,266.440002,560265300
2023-07-31,267.480011,269.079987,250.490005,253.860001,253.860001,466312800
2023-08-07,251.449997,253.649994,238.020004,242.649994,242.649994,517701600
2023-08-14,235.699997,240.660004,212.360001,215.490005,215.490005,555809500
2023-08-21,221.550003,240.820007,220.580002,238.589996,238.589996,573767800
2023-08-28,242.580002,261.179993,235.350006,245.009995,245.009995,604843900
2023-09-04,245.000000,258.000000,243.270004,248.500000,248.500000,480110000
2023-09-11,264.269989,278.980011,260.609985,274.390015,274.390015,663474100
2023-09-18,271.160004,273.929993,244.479996,244.880005,244.880005,574817000
2023-09-25,243.380005,254.770004,234.580002,250.220001,250.220001,588632500
2023-10-02,244.809998,263.600006,242.619995,260.529999,260.529999,592623500
2023-10-09,255.309998,268.940002,250.220001,251.119995,251.119995,541322100
2023-10-16,250.050003,257.179993,210.419998,211.990005,211.990005,616134600
2023-10-23,210.000000,222.050003,202.509995,207.300003,207.300003,585973400
2023-10-30,209.279999,226.369995,194.070007,219.960007,219.960007,621446800
2023-11-06,223.979996,226.320007,205.690002,214.649994,214.649994,613925200
2023-11-13,215.600006,246.699997,211.610001,234.300003,234.300003,719922800
2023-11-20,234.039993,244.009995,231.020004,235.449997,235.449997,421683900
2023-11-27,236.889999,252.750000,231.899994,238.830002,238.830002,649509700
2023-12-04,235.750000,246.660004,233.289993,243.839996,243.839996,578629500
2023-12-11,242.740005,254.130005,228.199997,253.500000,253.500000,636078500
2023-12-18,253.779999,259.839996,247.000000,252.539993,252.539993,551094900
2023-12-25,254.490005,265.130005,247.429993,248.479996,248.479996,407622000
2024-01-01,250.080002,251.250000,234.899994,237.490005,237.490005,420745500
2024-01-08,236.139999,241.250000,217.149994,218.889999,218.889999,502263400
2024-01-15,215.100006,223.490005,207.559998,212.190002,212.190002,429210600
2024-01-22,212.259995,217.800003,180.059998,183.250000,183.250000,653348300
2024-01-29,185.630005,196.360001,182.000000,187.910004,187.910004,540565200
2024-02-05,184.259995,194.119995,175.009995,193.570007,193.570007,536015900
2024-02-12,192.110001,203.169998,182.110001,199.949997,199.949997,495466500
2024-02-19,196.130005,199.440002,189.130005,191.970001,191.970001,379971200
2024-02-26,192.289993,205.600006,192.000000,202.639999,202.639999,488204900
2024-03-04,198.729996,199.750000,173.699997,175.339996,175.339996,549360900
2024-03-11,175.449997,182.869995,160.509995,163.570007,163.570007,502605300
2024-03-18,170.020004,178.179993,165.899994,170.830002,170.830002,417965200
